dex_number	internal_index	species_label	species_name	form_name	form_type	lineage_id	evo_stage	evolves_from	evolves_into	evo_methods	evo_params	evo_item_obtainable	type1	type2	hp	atk	defense	spa	spd	spe	bst	ability1	ability2	ability_hidden	held_item1	held_item2	levelup_moves	n_levelup	tm_moves	n_tm	egg_moves	n_egg	tutor_moves	event_moves	availability	n_availability	earliest_level	earliest_checkpoint	is_starter	wild_obtainable	one_time_only	missable	siblings	is_cosmetic_form	source_files	confidence	notes	reachable
153	153	SPECIES_BAYLEEF	Bayleef	NONE	base	152	2	152	EVO_LEVEL:154:36	EVO_LEVEL	level=36	UNK	Grass		60	62	80	63	80	60	405	Overgrow	NONE	Leaf Guard	NONE	NONE	72:0,33:1,45:1,72:1,77:1,75:6,77:8,148:10,235:12,115:18,345:22,363:26,230:32,113:36,34:40,219:46,312:50,76:54	18	402,331,113,202,115,412,731,231,447,15,70,148,249,526,14,34,241,76,632,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	34	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
154	154	SPECIES_MEGANIUM	Meganium	NONE	base	152	3	153	NONE	NONE	NONE	UNK	Grass	Fairy	80	82	100	83	100	80	525	Overgrow	NONE	Triage	NONE	NONE	577:0,80:1,572:1,33:1,45:1,577:1,77:1,75:6,77:9,235:12,115:18,345:22,363:26,230:34,113:40,34:46,219:54,312:60,76:66,572:70	20	402,331,113,202,89,115,577,412,731,231,661,447,525,523,605,583,15,70,148,249,526,14,34,241,76,632,585,730,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	43	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
155	155	SPECIES_CYNDAQUIL	Cyndaquil	NONE	base	155	1	NONE	EVO_LEVEL:156:16	EVO_LEVEL	level=16	UNK	Fire		39	52	43	60	50	65	309	Blaze	NONE	Flash Fire	NONE	NONE	33:1,43:1,52:7,172:10,98:13,24:15,326:19,111:22,743:23,488:28,129:31,436:37,53:40,517:46,205:49,38:55,645:58	17	257,91,53,126,315,843,261,332,528,743,583,15,526,488,241,394,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	31	154,98,179,37,343,336,306,38,24,394,326,267,481	13	UNK	UNK	Fallarbor Town Move Relearners House:egg:1-1:UNK:Trade Red Shard (random species)|Littleroot Town Professor Birchs Lab:choice:5-5:100:Hoenn Dex completion reward, choose one|Littleroot Town:starter:5-5:100:game start, choose one	3	1	01_Pre-Roxanne	True	False	True	True	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
156	156	SPECIES_QUILAVA	Quilava	NONE	base	155	2	155	EVO_LEVEL_DAY:157:36;EVO_LEVEL_NIGHT:997:36	EVO_LEVEL_DAY,EVO_LEVEL_NIGHT	level=36,level=36	UNK	Fire		58	64	58	80	65	80	405	Blaze	NONE	Flash Fire	NONE	NONE	33:1,43:1,52:7,172:10,98:13,24:15,326:19,111:24,743:28,129:31,595:34,436:42,53:46,517:53,205:57,38:64,645:68	17	46,257,91,280,53,126,315,843,261,332,528,743,583,15,70,249,526,488,241,264,394,595,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	37	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
157	157	SPECIES_TYPHLOSION	Typhlosion	NONE	base	155	3	156	NONE	NONE	NONE	UNK	Fire		78	84	78	109	85	100	534	Flash Fire	NONE	Blazing Soul	NONE	NONE	38:1,360:1,33:1,43:1,52:1,52:10,98:13,24:15,326:19,172:20,111:24,743:28,129:31,488:35,436:43,53:48,517:56,38:69,645:74,284:100	20	46,257,89,91,280,396,53,126,317,67,315,411,843,261,231,421,661,360,9,157,332,523,7,528,743,583,15,70,249,526,612,488,241,76,595,264,394,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	52	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	997	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
157	997	SPECIES_TYPHLOSION_HISUI	Typhlosion	Hisui	regional	155	3	156	NONE	NONE	NONE	UNK	Fire	Ghost	73	84	78	119	85	95	534	Blaze	NONE	Flash Fire	NONE	NONE	772:0,772:1,466:1,33:1,43:1,52:1,52:10,98:13,24:15,326:19,172:20,111:24,743:28,129:31,595:35,436:43,53:48,247:53,517:56,38:62,645:68,284:74	22	46,257,269,94,247,280,396,53,126,317,67,168,315,411,843,261,231,421,737,661,360,9,399,332,523,7,528,743,583,433,15,70,526,488,347,492,241,506,76,595,566,264,394,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	58	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	157	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
158	158	SPECIES_TOTODILE	Totodile	NONE	base	158	1	NONE	EVO_LEVEL:159:16	EVO_LEVEL	level=16	UNK	Water		50	65	64	44	48	43	314	Sheer Force	NONE	Strong Jaw	NONE	NONE	10:1,43:1,453:6,99:8,44:13,423:15,184:18,175:21,46:23,242:25,498:27,163:30,103:32,37:36,401:39,276:42,56:46	17	337,740,58,59,56,196,91,280,317,67,231,421,157,503,332,8,276,15,57,127,526,612,349,809,14,423,34,264,240,352,46,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	46	242,37,56,246,300,346,8,232,349,453,313,335,352,260	14	UNK	UNK	Fallarbor Town Move Relearners House:egg:1-1:UNK:Trade Blue Shard (random species)|Littleroot Town Professor Birchs Lab:choice:5-5:100:Hoenn Dex completion reward, choose one|Littleroot Town:starter:5-5:100:game start, choose one	3	1	01_Pre-Roxanne	True	False	True	True	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
159	159	SPECIES_CROCONAW	Croconaw	NONE	base	158	2	158	EVO_LEVEL:160:36	EVO_LEVEL	level=36	UNK	Water		65	80	80	59	63	58	405	Sheer Force	NONE	Strong Jaw	NONE	NONE	10:1,43:1,453:1,55:6,99:8,44:13,423:15,69:18,184:21,46:23,175:24,242:27,498:30,163:33,103:37,37:40,401:43,276:46,56:49	19	337,740,46,58,59,56,196,91,280,317,67,231,421,157,503,332,8,276,15,57,70,249,127,526,612,349,809,14,423,34,264,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	48	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
160	160	SPECIES_FERALIGATR	Feraligatr	NONE	base	158	3	159	NONE	NONE	NONE	UNK	Water		85	105	100	79	83	78	530	Sheer Force	NONE	Strong Jaw	NONE	NONE	401:0,401:1,97:1,10:1,43:1,453:1,55:6,99:8,44:13,423:15,69:18,184:21,46:23,175:24,242:27,498:30,163:33,103:38,37:42,848:44,276:48,793:52,692:54,349:57	24	337,740,46,58,59,56,196,89,91,280,396,317,67,664,411,406,231,421,157,503,332,525,727,523,8,276,15,57,70,249,127,526,612,349,809,14,423,34,660,264,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	57	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
161	161	SPECIES_SENTRET	Sentret	NONE	base	161	1	NONE	EVO_LEVEL:162:15	EVO_LEVEL	level=15	UNK	Normal		35	46	34	35	45	20	215	Run Away	Frisk	NONE	NONE	NONE	10:1,193:1,111:4,98:7,29:13,270:16,266:19,21:25,156:28,389:31,133:36,382:42,304:47	13	58,59,304,85,91,247,280,53,168,231,421,282,9,447,369,7,8,583,15,57,526,612,451,541,34,241,76,264,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	44	38,228,163,116,179,271,274,204,343,363,231,445,608	13	UNK	UNK	MAP_ROUTE115:grass:6-8:4:NONE|Oldale Town Pokemon Center 1F:egg:1-1:UNK:Speak to egg man, random egg	2	1	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
162	162	SPECIES_FURRET	Furret	NONE	base	161	2	161	NONE	NONE	NONE	UNK	Normal		85	86	64	45	55	90	425	Adaptability	Frisk	NONE	NONE	NONE	97:0,97:1,489:1,10:1,193:1,111:1,98:1,111:4,98:7,29:13,270:17,266:21,21:28,389:32,245:36,133:42,382:50,808:52,38:56	19	58,59,304,85,87,91,247,280,53,168,411,231,421,282,9,447,369,7,8,583,15,57,70,249,526,612,451,541,34,241,76,264,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	48	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
163	163	SPECIES_HOOTHOOT	Hoothoot	NONE	base	163	1	NONE	EVO_LEVEL:164:16	EVO_LEVEL	level=16	UNK	Normal	Flying	60	30	30	36	56	50	262	Tinted Lens	Frisk	Insomnia	NONE	NONE	33:1,45:1,193:1,95:4,64:7,93:10,497:13,428:16,375:19,326:22,403:25,115:28,253:34,355:37,585:40,485:43,138:46	17	257,428,304,94,247,115,432,168,211,542,355,403,248,332,365,742,413,19,148,526,366,347,417,500,241,240,585,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	42	119,48,185,17,18,143,297,97,101,432,212,542	12	UNK	UNK	MAP_PETALBURG_WOODS:grass:5-6:10:NONE	1	5	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
164	164	SPECIES_NOCTOWL	Noctowl	NONE	base	163	2	163	NONE	NONE	NONE	UNK	Normal	Flying	110	50	50	86	96	70	462	Tinted Lens	Frisk	Insomnia	NONE	NONE	314:0,314:1,138:1,143:1,768:1,33:1,45:1,193:1,95:4,64:7,93:10,497:13,428:16,375:19,326:23,403:27,115:31,253:39,355:43,585:47,485:51,613:64	22	257,428,304,94,247,115,432,168,211,542,355,725,403,248,332,365,742,845,413,19,148,526,366,347,417,500,241,240,585,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	44	NONE	0	UNK	UNK	MAP_MT_PYRE_5F:grass:35-40:10:NONE|MAP_MT_PYRE_5F:grass:35-40:10:NONE	2	35	07_Pre-MtChimney-Magma	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
165	165	SPECIES_LEDYBA	Ledyba	NONE	base	165	1	NONE	EVO_LEVEL:166:16	EVO_LEVEL	level=16	UNK	Bug	Flying	40	20	30	40	80	55	265	Swarm	Early Bird	NONE	NONE	NONE	33:1,48:5,129:8,113:12,115:12,219:12,183:15,450:19,4:22,97:29,405:33,38:40	12	113,202,91,280,115,168,355,403,409,282,9,332,369,742,8,512,148,612,450,366,14,241,76,405,264,318,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	41	60,117,318,405,103,227,282,450,264,409,146,366,203,68	14	UNK	UNK	MAP_ROUTE119:grass:25-27:1:NONE	1	25	03_Pre-Brawly	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
166	166	SPECIES_LEDIAN	Ledian	NONE	base	165	2	165	NONE	NONE	NONE	UNK	Bug	Fighting	55	90	50	35	100	85	415	Swarm	Iron Fist	NONE	NONE	NONE	33:1,612:1,129:1,612:0,129:8,113:12,115:12,219:12,183:15,450:20,4:24,9:27,97:33,642:38,409:47,370:52,623:55,765:63	18	370,113,202,91,280,115,432,168,355,411,403,409,282,9,332,369,742,8,512,70,148,249,612,450,366,339,14,241,76,405,264,318,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	47	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
167	167	SPECIES_SPINARAK	Spinarak	NONE	base	167	1	NONE	EVO_LEVEL:168:16	EVO_LEVEL	level=16	UNK	Bug	Poison	40	60	40	40	40	30	250	Swarm	Insomnia	Sniper	NONE	NONE	40:1,81:1,132:1,71:5,611:8,184:12,101:15,425:19,154:22,389:26,169:29,97:33,42:36,94:40,398:43,440:47,564:50,635:54	18	527,202,91,94,188,168,141,474,404,398,148,450,492,42,34,241,76,405,224,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	34	60,50,49,228,324,390,41,527,476,400,224,642	12	UNK	UNK	MAP_ROUTE118:grass:20-24:1:NONE	1	20	02_Pre-Rustboro-Rival	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
168	168	SPECIES_ARIADOS	Ariados	NONE	base	167	2	167	NONE	NONE	NONE	UNK	Bug	Poison	70	95	70	60	70	70	435	Swarm	No Guard	Sniper	NONE	NONE	14:0,14:1,564:1,599:1,565:1,450:1,40:1,81:1,132:1,71:1,71:5,611:8,184:12,101:15,425:19,305:22,389:26,169:30,42:34,440:37,398:42,441:46,224:49,564:54,635:63	25	527,202,91,94,188,168,141,474,661,404,398,441,148,450,492,14,42,34,241,76,405,224,305,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	38	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
169	169	SPECIES_CROBAT	Crobat	NONE	base	41	3	42	NONE	NONE	NONE	UNK	Poison	Flying	85	90	80	90	80	130	555	Infiltrator	Sniper	Corrosion	NONE	NONE	440:0,440:1,103:1,71:1,48:1,310:1,44:1,48:5,310:7,44:11,17:13,109:17,314:19,212:24,305:27,141:32,742:35,114:40,474:43,403:48,501:51	21	257,428,269,202,247,188,432,168,211,542,141,355,403,474,399,404,332,365,369,742,512,413,19,366,417,241,506,240,305,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	44	NONE	0	UNK	UNK	MAP_SEAFLOOR_CAVERN_ROOM1:grass:40-50:20:NONE|MAP_SEAFLOOR_CAVERN_ROOM1:grass:40-50:20:NONE|MAP_SEAFLOOR_CAVERN_ROOM2:grass:40-50:20:NONE|MAP_SEAFLOOR_CAVERN_ROOM2:grass:40-50:20:NONE|MAP_VICTORY_ROAD_B2F:surf:30-35:60:NONE	5	30	04_Pre-Aqua-Museum	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
170	170	SPECIES_CHINCHOU	Chinchou	NONE	base	170	1	NONE	EVO_LEVEL:171:27	EVO_LEVEL	level=27	UNK	Water	Electric	75	38	38	56	56	67	330	Volt Absorb	Illuminate	Water Absorb	NONE	DeepSeaScale	145:1,48:1,86:6,486:9,351:12,109:17,61:20,209:23,324:28,503:31,435:34,570:39,392:42,56:45,569:47,268:50	16	740,58,59,56,196,85,87,732,86,503,521,528,605,57,148,127,451,809,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	35	175,103,133,60,250,97,54,351,362,352,487	11	UNK	UNK	MAP_ROUTE110:surf:10-30:30:NONE|MAP_ROUTE110:surf:15-25:5:NONE|MAP_UNDERWATER_ROUTE126:surf:20-30:60:NONE|MAP_UNDERWATER_ROUTE126:surf:20-30:30:NONE|MAP_ROUTE108:old_rod:5-10:34:NONE|MAP_ROUTE108:good_rod:10-20:34:NONE|MAP_DEWFORD_TOWN:old_rod:5-10:33:NONE|MAP_DEWFORD_TOWN:good_rod:10-20:33:NONE	8	5	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
171	171	SPECIES_LANTURN	Lanturn	NONE	base	170	2	170	NONE	NONE	NONE	UNK	Water	Electric	125	58	58	76	76	67	460	Volt Absorb	Illuminate	Water Absorb	NONE	DeepSeaScale	254:0,256:0,255:0,254:1,256:1,255:1,598:1,634:1,145:1,48:1,86:1,196:1,86:6,486:9,351:12,109:17,61:20,209:23,324:29,503:33,435:37,392:47,56:51,569:54,570:55,268:58	26	740,58,59,56,196,85,87,732,86,503,521,528,605,57,148,127,451,809,240,352,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	35	NONE	0	UNK	UNK	MAP_ROUTE110:surf:25-30:4:NONE|MAP_ROUTE110:surf:25-30:1:NONE|MAP_UNDERWATER_ROUTE126:surf:30-35:5:NONE|MAP_ROUTE108:super_rod:30-35:40:NONE|MAP_DEWFORD_TOWN:super_rod:35-40:15:NONE|MAP_DEWFORD_TOWN:super_rod:40-45:4:NONE|MAP_DEWFORD_TOWN:super_rod:40-45:1:NONE	7	25	03_Pre-Brawly	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
172	172	SPECIES_PICHU	Pichu	NONE	base	172	1	NONE	EVO_FRIENDSHIP:25:0	EVO_FRIENDSHIP	none=0	UNK	Electric		20	40	15	35	35	60	205	Static	NONE	Lightning Rod	NONE	NONE	84:1,204:1,608:3,39:5,186:10,417:13,86:18	7	527,113,85,87,115,732,231,86,9,447,521,528,583,57,148,451,417,34,811,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	35	179,117,217,227,3,273,268,252,9,321,175,203,381,516,574,604	16	UNK	UNK	MAP_SAFARI_ZONE_SOUTH:grass:40-45:5:NONE	1	40	07_Pre-MtChimney-Magma	False	True	False	False	1023	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
172	1023	SPECIES_PICHU_SPIKY_EARED	Pichu	Spiky-Eared	other	1023	1	NONE	NONE	NONE	NONE	UNK	Electric		20	40	15	35	35	60	205	Static	NONE	Lightning Rod	NONE	NONE	84:1,204:1,608:3,39:5,186:10,417:13,86:18	7	527,113,85,87,115,732,231,86,9,447,521,528,583,57,148,451,417,34,811,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	35	179,117,217,227,3,273,268,252,9,321,175,203,381,516,574,604	16	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	172	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Unresolved	no acquisition record in any supplied source	none
173	173	SPECIES_CLEFFA	Cleffa	NONE	base	173	1	NONE	EVO_FRIENDSHIP:35:0	EVO_FRIENDSHIP	none=0	UNK	Fairy		50	25	28	45	55	15	218	Cute Charm	Magic Guard	Friend Guard	NONE	Moon Stone	1:1,204:1,227:4,47:7,186:10,383:13,345:16	7	428,113,304,196,91,94,247,115,53,126,577,231,86,447,473,583,148,526,842,34,500,241,76,240,356,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	40	217,118,133,187,135,102,273,313,343,312,500,321,581,505	14	UNK	UNK	MAP_SAFARI_ZONE_SOUTH:grass:40-45:5:NONE	1	40	07_Pre-MtChimney-Magma	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
174	174	SPECIES_IGGLYBUFF	Igglybuff	NONE	base	174	1	NONE	EVO_FRIENDSHIP:39:0	EVO_FRIENDSHIP	none=0	UNK	Normal	Fairy	90	30	15	40	20	15	210	Cute Charm	Competitive	Friend Guard	NONE	NONE	47:1,204:1,111:3,1:5,186:9,383:11,142:65	7	113,304,196,91,94,247,115,53,126,577,86,447,528,583,148,526,220,842,34,241,76,811,240,356,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	39	195,217,185,273,313,343,356,214,445,386,581,505	12	UNK	UNK	MAP_SAFARI_ZONE_SOUTH:grass:40-45:10:NONE	1	40	07_Pre-MtChimney-Magma	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
175	175	SPECIES_TOGEPI	Togepi	NONE	base	175	1	NONE	EVO_FRIENDSHIP:176:0	EVO_FRIENDSHIP	none=0	UNK	Fairy		35	20	65	40	65	20	245	Hustle	Serene Grace	Super Luck	NONE	NONE	45:1,204:1,118:5,186:9,281:13,227:17,266:21,516:25,273:29,246:33,219:37,38:45,387:49,495:53	14	428,113,304,94,247,115,53,126,577,86,248,447,605,473,583,148,249,526,417,34,500,241,76,595,240,332,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	41	217,119,64,193,248,417,375,381,326,500,234,332	12	UNK	UNK	Rustboro City:egg:1-1:UNK:Egg in Pokemon Center|Route 109 Seashore House:choice:25-25:100:Defeat trainers; difficulty dictates species	2	1	01_Pre-Roxanne	False	False	True	True	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
176	176	SPECIES_TOGETIC	Togetic	NONE	base	175	2	175	EVO_ITEM:468:218	EVO_ITEM	item=218	UNK	Fairy	Flying	55	40	85	80	105	40	405	Hustle	Serene Grace	Super Luck	NONE	NONE	345:1,45:1,204:1,118:1,186:1,118:5,186:9,281:13,584:14,227:17,266:21,516:25,403:27,273:29,246:33,219:37,38:45,387:49,495:53,585:66	20	257,428,113,304,94,247,280,115,53,126,432,577,211,355,409,86,248,447,332,742,605,473,583,413,15,19,148,249,526,366,347,417,34,500,241,76,595,264,240,403,585,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	56	NONE	0	UNK	UNK	MAP_SAFARI_ZONE_NORTH:grass:40-45:4:NONE	1	40	07_Pre-MtChimney-Magma	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
177	177	SPECIES_NATU	Natu	NONE	base	177	1	NONE	EVO_LEVEL:178:25	EVO_LEVEL	level=25	UNK	Psychic	Flying	40	50	45	70	45	70	320	Synchronize	Early Bird	Magic Bounce	NONE	NONE	64:1,43:1,357:1,101:6,314:9,381:12,93:15,500:17,466:20,109:23,273:28,94:31,768:34,375:39,248:44,384:47,385:47,382:50	18	257,428,113,202,94,247,115,100,168,211,355,725,403,86,248,447,332,365,369,742,605,473,433,413,148,220,366,347,500,241,76,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	47	114,65,98,185,211,297,287,428,389,485,355,285,493	13	UNK	UNK	MAP_GRANITE_CAVE_B2F:grass:12-17:20:NONE	1	12	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
178	178	SPECIES_XATU	Xatu	NONE	base	177	2	177	NONE	NONE	NONE	UNK	Psychic	Flying	65	75	70	105	70	105	490	Synchronize	Early Bird	Magic Bounce	NONE	NONE	403:0,403:1,366:1,357:1,64:1,43:1,473:1,101:6,314:9,381:12,93:15,500:17,466:20,109:23,273:29,94:35,768:39,375:43,248:49,384:53,385:53,382:57	22	257,428,113,202,94,247,115,100,432,168,211,355,725,403,86,248,447,332,365,369,742,605,473,433,413,19,148,220,366,347,492,500,241,76,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	50	NONE	0	UNK	UNK	NONE	0	UNK	UNK	False	False	False	UNK	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Inferred	no direct encounter; reached by evolving a pre-evolution	via_evolution
179	179	SPECIES_MAREEP	Mareep	NONE	base	179	1	NONE	EVO_LEVEL:180:15	EVO_LEVEL	level=15	UNK	Electric		55	40	40	65	45	35	280	Static	NONE	Plus	NONE	NONE	33:1,45:1,86:4,148:8,178:11,268:15,36:18,486:22,109:25,408:29,435:32,324:39,113:43,87:46	14	527,113,85,87,115,732,231,86,528,148,451,34,811,408,240,117,218,237,102,363,182,99,216,290,164,779,92,263,156,214	30	36,34,103,316,268,260,28,231,495,97,598,604	12	UNK	UNK	MAP_RUSTURF_TUNNEL:grass:6-8:4:NONE|MAP_ALTERING_CAVE:grass:7-7:20:NONE|MAP_ALTERING_CAVE:grass:9-9:20:NONE|MAP_ALTERING_CAVE:grass:5-5:10:NONE|MAP_ALTERING_CAVE:grass:11-11:10:NONE|MAP_ALTERING_CAVE:grass:7-7:10:NONE|MAP_ALTERING_CAVE:grass:9-9:10:NONE|MAP_ALTERING_CAVE:grass:13-13:5:NONE|MAP_ALTERING_CAVE:grass:3-3:5:NONE|MAP_ALTERING_CAVE:grass:5-5:4:NONE|MAP_ALTERING_CAVE:grass:11-11:4:NONE|MAP_ALTERING_CAVE:grass:5-5:1:NONE|MAP_ALTERING_CAVE:grass:11-11:1:NONE	13	3	01_Pre-Roxanne	False	True	False	False	NONE	False	speciesData_json.txt;wild_encounters_json.txt;Pokemon_Routes__Gift_Mons__and_Eggs.pdf;General_Documents___Locations.xlsx	Measured	NONE	direct
